602PT.bam	667PT.bam	M17PT.bam	M20PT.bam	M37PT.bam	M43PT.bam	M49PT.bam	M50PT.bam	M57PT.bam	M60PT.bam	M61PT.bam	M62PT.bam	M69PT.bam	M77PT.bam	M8PT.bam	M97PT.bam	M99PT.bam
ENSG00000006116	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSG00000006118	946	7247	5729	1525	6226	6798	6321	4901	4811	3821	11464	1981	19471	2775	1266	4155	2131
ENSG00000006125	8905	17004	13859	19141	16684	15167	8388	10488	11456	15174	10679	8755	12501	10346	10283	6216	21598
ENSG00000006128	1	0	1	208	0	0	0	4	329	0	7	0	42	6	149	0	1
ENSG00000006194	2848	2338	2535	2203	2632	2414	2803	2825	1454	2386	2263	1920	1419	1934	1770	3798	3379
ENSG00000006210	244	1178	171	145	66	105	165	106	372	85	323	1080	1079	348	650	347	1736
ENSG00000006282	4921	3093	2719	4160	2984	3433	3077	3967	5992	4271	2203	4594	4692	2179	3989	5016	3023
ENSG00000006283	51	34	446	287	34	20	135	245	1368	108	801	229	1649	2156	200	43	18
ENSG00000006327	1575	5044	4430	9903	3097	7065	2960	2593	1794	1574	1064	4293	751	2489	4147	6923	3318
ENSG00000006377	5	0	143	95	2	1	2	4	27	7	21	2	314	617	7	3	0
ENSG00000006432	289	957	1206	200	233	775	1145	1065	1249	832	208	93	2067	115	145	924	184
ENSG00000006451	1705	3552	5409	4694	2701	5318	3913	2008	3662	1858	2555	2877	3099	4856	3707	2373	2589
ENSG00000006453	763	390	1909	1482	1226	3238	2048	1065	581	3401	355	381	2370	424	344	1739	484
ENSG00000006459	1523	2285	2171	1887	1505	1549	1853	1351	1220	1380	2459	1739	895	3893	2525	1818	3348
ENSG00000006468	1049	669	3571	1013	618	188	2055	1766	1033	631	5516	1021	2058	1652	845	241	707
ENSG00000006530	1528	1942	1782	2275	1332	1764	2918	1610	1820	1202	1402	1571	2679	2033	1090	2830	1746
ENSG00000006534	4648	2840	1787	1587	5330	7458	2086	4577	3803	7637	2404	1541	725	1072	1195	4723	4002
ENSG00000006555	339	341	113	17	451	73	290	153	23	731	23	92	388	32	17	525	214
ENSG00000006576	1841	3927	6178	3515	4095	4689	6680	3315	3212	3224	3467	3688	4089	3817	4440	3604	3102
ENSG00000006606	6	33	83	454	45	44	30	3	43	53	14	31	14	35	31	28	29
